vaso_bin,vaso_label,fluid_bin,fluid_label,count,pct
0,no_vaso,0,no_fluid,132,2.6
0,no_vaso,1,fluid_Q1,100,2.0
0,no_vaso,2,fluid_Q2,318,6.4
0,no_vaso,3,fluid_Q3,30,0.6
0,no_vaso,4,fluid_Q4,196,3.9
1,vaso_Q1,0,no_fluid,174,3.5
1,vaso_Q1,1,fluid_Q1,372,7.4
1,vaso_Q1,2,fluid_Q2,171,3.4
1,vaso_Q1,3,fluid_Q3,183,3.7
1,vaso_Q1,4,fluid_Q4,168,3.4
2,vaso_Q2,0,no_fluid,421,8.4
2,vaso_Q2,1,fluid_Q1,286,5.7
2,vaso_Q2,2,fluid_Q2,316,6.3
2,vaso_Q2,3,fluid_Q3,311,6.2
2,vaso_Q2,4,fluid_Q4,289,5.8
3,vaso_Q3,0,no_fluid,169,3.4
3,vaso_Q3,1,fluid_Q1,22,0.4
3,vaso_Q3,2,fluid_Q2,150,3.0
3,vaso_Q3,3,fluid_Q3,205,4.1
3,vaso_Q3,4,fluid_Q4,195,3.9
4,vaso_Q4,0,no_fluid,207,4.1
4,vaso_Q4,1,fluid_Q1,249,5.0
4,vaso_Q4,2,fluid_Q2,230,4.6
4,vaso_Q4,3,fluid_Q3,267,5.3
4,vaso_Q4,4,fluid_Q4,80,1.6
